Model,Round,delay,traffic,cache_hit
GRU,27,0.85051,81.578,0.6803309384655675
GRU,28,0.93362,87.706,0.6776271741111486
GRU,29,0.91883,78.366,0.6675731604929996
GRU,30,0.8880600000000001,81.636,0.6776993599622079
GRU,31,0.8202985074626866,75.50067842605156,0.6828342923095385
LR,0,0.73917,78.688,0.7300537782051917
LR,1,0.73586,78.2,0.7179740885164518
LR,2,0.77137,82.306,0.7111198425823826
LR,3,0.84478,84.744,0.7057110344383082
LR,4,0.7579600000000001,80.252,0.7192897132866973
LR,5,0.72139,82.358,0.7305072658530994
LR,6,0.78523,76.142,0.7163052447321676
LR,7,0.75461,83.25,0.7283244083477584
LR,8,0.76052,82.13,0.7184072628206367
LR,9,0.75456,80.816,0.7154920806088136
LR,10,0.75455,81.892,0.7170059401730476
LR,11,0.81387,80.626,0.7118097091932887
LR,12,0.7428,80.544,0.7267684892937881
LR,13,0.67371,73.13,0.7414225688005285
LR,14,0.7257899999999999,79.192,0.7248614249803634
LR,15,0.79395,79.734,0.7037848528365582
LR,16,0.78114,84.108,0.7200425341610072
LR,17,0.7754,78.958,0.721390102208965
LR,18,0.77149,81.694,0.7270421832836338
LR,19,0.744,77.612,0.7286305937198166
LR,20,0.7519,78.518,0.7215842271867254
LR,21,0.78449,84.278,0.7107275238271951
LR,22,0.76064,82.398,0.7167633010575457
LR,23,0.83359,83.574,0.7133269800171766
LR,24,0.7491599999999999,79.858,0.7156524464251991
LR,25,0.78256,83.35,0.7241759967637987
LR,26,0.7364400000000001,78.32,0.7187303274799339
LR,27,0.70796,79.66,0.7385659729432132
LR,28,0.84975,89.096,0.7124901527307409
LR,29,0.78139,80.358,0.7265626097156782
LR,30,0.77039,81.248,0.721768808262513
LR,31,0.6970420624151967,76.23609226594301,0.7219703783138569
LSTM,0,0.82597,72.25,0.6936099249136964
LSTM,1,0.79823,72.496,0.7021663943344517
LSTM,2,0.8639,74.156,0.6794167994656338
LSTM,3,0.86641,74.444,0.6872767688329903
LSTM,4,0.8347,73.814,0.6892447045114541
LSTM,5,0.78274,71.322,0.7033449988677078
LSTM,6,0.8567400000000001,70.568,0.6860108040988102
LSTM,7,0.80342,75.548,0.7048133378156114
LSTM,8,0.83447,75.502,0.68764902511172
LSTM,9,0.82906,76.352,0.6970203162562866
LSTM,10,0.81952,73.738,0.6955878973748849
LSTM,11,0.8595,74.666,0.6882077740392359
LSTM,12,0.82271,75.29,0.6890949577809502
LSTM,13,0.79149,70.596,0.6995475185647786
LSTM,14,0.81252,74.61,0.6917499811239575
LSTM,15,0.87341,74.462,0.684504529803952
LSTM,16,0.8595900000000001,76.126,0.6942626812910457
